frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
112,5.333337,611.0,287.0,1,5.2492,-4.3602,27.2551,3.5526,0,439.55,482.44,498.72,356.61,1,14,detect,flow
113,5.380956,615.0,283.0,1,5.3869,-5.1442,16.7152,0.7481,0,450.55,481.9,-1,-1,1,-1,detect,missing
114,5.428575,618.0,283.0,1,5.4424,-5.1442,1.166,80.0396,0,460.32,480.69,508.61,356.52,1,14,detect,flow
115,5.476194,622.0,281.0,1,5.5524,-5.5526,8.8826,74.9217,0,469.44,479.72,516.27,352.56,1,14,detect,flow
116,5.523814,624.0,281.0,1,5.59,-5.5526,0.7882,74.9217,0,478.19,476.16,526.86,352.88,1,14,detect,flow
117,5.571433,628.0,283.0,1,5.6275,-5.1442,8.6129,84.752,0,489.86,466.94,530.49,352.51,1,14,detect,flow
118,5.619052,631.0,281.0,1,5.7214,-5.5526,8.8003,161.8102,0,510.29,458.57,-1,-1,1,-1,detect,missing
119,5.666671,633.0,283.0,1,5.72,-5.1442,8.5768,167.2424,0,522.37,454.87,-1,-1,1,-1,detect,missing
120,5.714290,633.0,283.0,1,5.72,-5.1442,0.0,90.1842,0,529.45,452.11,-1,-1,1,-1,detect,missing
121,5.761909,633.0,287.0,1,5.6455,-4.3602,16.5376,95.4333,0,540.39,445.93,-1,-1,1,-1,detect,missing
122,5.809528,633.0,290.0,1,5.5921,-3.7993,11.8323,0.0,0,551.44,443.4,-1,-1,1,-1,detect,missing
123,5.857147,635.0,298.0,1,5.4932,-2.4063,29.3266,1.3704,0,567.05,442.74,-1,-1,1,-1,detect,missing
124,5.904766,635.0,304.0,1,5.401,-1.4496,20.1835,1.4423,0,577.14,442.49,-1,-1,1,-1,detect,missing
125,5.952385,637.0,309.0,1,5.3605,-0.7036,15.6887,2.3971,0,583.1,442.38,-1,-1,1,-1,detect,missing
126,6.000004,637.0,315.0,1,5.2785,0.136,17.715,2.469,0,588.77,441.71,-1,-1,1,-1,detect,missing
127,6.047623,637.0,323.0,1,5.1774,1.1707,21.8334,0.0,0,594.11,440.64,547.65,358.03,1,15,detect,detect
128,6.095243,637.0,340.0,1,4.9893,3.0976,40.6567,0.0,0,600.89,436.92,547.42,359.8,1,15,detect,detect
129,6.142862,637.0,347.0,1,4.9207,3.7999,14.8194,0.0,0,605.11,431.71,546.6,360.76,1,15,detect,detect
130,6.190481,637.0,358.0,1,4.8217,4.8134,21.3832,0.0,0,609.88,427.38,544.52,360.62,1,15,detect,detect
131,6.238100,639.0,366.0,1,4.7793,5.489,14.2165,1.9838,0,613.63,424.45,544.15,360.03,1,15,detect,detect
132,6.285719,-1,-1,0,-1,-1,-1,-1,0,617.04,420.77,542.9,360.0,1,15,detect,detect
133,6.333338,-1,-1,0,-1,-1,-1,-1,0,621.68,418.99,538.39,360.79,1,15,detect,detect
134,6.380957,-1,-1,0,-1,-1,-1,-1,0,625.13,417.29,535.39,361.07,1,15,detect,detect
135,6.428576,-1,-1,0,-1,-1,-1,-1,0,627.78,415.99,533.92,361.22,1,15,detect,detect
136,6.476195,-1,-1,0,-1,-1,-1,-1,0,620.93,468.51,518.7,363.58,1,15,detect,detect
137,6.523814,-1,-1,0,-1,-1,-1,-1,0,623.91,490.25,512.76,363.89,1,15,detect,detect
138,6.571433,-1,-1,0,-1,-1,-1,-1,0,629.16,503.17,510.48,363.34,1,15,detect,detect
139,6.619052,-1,-1,0,-1,-1,-1,-1,0,633.81,509.27,509.19,362.68,1,15,detect,detect
140,6.666672,-1,-1,0,-1,-1,-1,-1,0,635.29,511.64,508.8,362.16,1,15,detect,detect
141,6.714291,-1,-1,0,-1,-1,-1,-1,0,638.09,512.81,508.74,362.07,1,15,detect,detect
142,6.761910,-1,-1,0,-1,-1,-1,-1,0,644.09,512.73,508.44,362.09,1,15,detect,detect
143,6.809529,-1,-1,0,-1,-1,-1,-1,0,646.21,511.54,507.92,362.4,1,15,detect,detect
144,6.857148,-1,-1,0,-1,-1,-1,-1,0,656.62,495.41,504.26,360.77,1,15,detect,detect
145,6.904767,645.0,9.0,1,-0.4379,56.9692,77.6157,2.1935,0,662.86,477.96,501.47,360.65,1,15,detect,detect
146,6.952386,646.0,34.0,1,-1.2766,64.8831,167.1241,0.2629,1,668.59,463.71,500.43,360.86,1,15,detect,detect
147,7.000005,648.0,58.0,1,-2.6105,77.1395,258.9039,0.1615,1,676.68,455.42,499.96,361.09,1,15,detect,detect
148,7.047624,652.0,83.0,1,-5.3338,101.3007,510.5975,0.2196,1,679.26,450.8,499.99,360.44,1,15,detect,detect
149,7.095243,-1,-1,0,-1,-1,-1,-1,0,680.08,448.31,499.58,358.72,1,15,detect,detect
