frame,time_sec,ball_x,ball_y,ball_visible,ball_court_x_m,ball_court_y_m,ball_speed_mps,ball_direction_change_deg,ball_jump_flag,player_near_x,player_near_y,player_far_x,player_far_y,player_near_track_id,player_far_track_id,player_near_source,player_far_source
126,6.000004,637.0,314.0,1,5.2897,-0.0,14.9031,2.0537,0,588.68,441.6,-1,-1,1,-1,detect,missing
127,6.047623,637.0,323.0,1,5.1748,1.1746,24.784,0.0,0,594.09,440.61,547.67,358.01,1,57,detect,detect
128,6.095243,637.0,340.0,1,4.9859,3.1062,40.7575,0.0,0,600.75,436.92,547.11,359.77,1,57,detect,detect
129,6.142862,637.0,347.0,1,4.917,3.8098,14.8457,0.0,0,605.02,431.51,546.2,360.76,1,57,detect,detect
130,6.190481,637.0,357.0,1,4.8264,4.7365,19.5539,0.0,0,610.21,427.27,544.32,360.67,1,57,detect,detect
131,6.238100,638.0,368.0,1,4.7475,5.6624,19.5141,0.7169,0,613.91,424.33,543.96,360.05,1,57,detect,detect
132,6.285719,-1,-1,0,-1,-1,-1,-1,0,617.11,420.7,542.96,359.96,1,57,detect,detect
133,6.333338,-1,-1,0,-1,-1,-1,-1,0,621.7,419.04,538.38,360.8,1,57,detect,detect
134,6.380957,-1,-1,0,-1,-1,-1,-1,0,625.11,417.32,535.42,361.07,1,57,detect,detect
135,6.428576,-1,-1,0,-1,-1,-1,-1,0,627.77,416.02,533.89,361.21,1,57,detect,detect
136,6.476195,-1,-1,0,-1,-1,-1,-1,0,620.69,468.47,518.71,363.62,1,57,detect,detect
137,6.523814,-1,-1,0,-1,-1,-1,-1,0,623.68,490.18,512.8,363.92,1,57,detect,detect
138,6.571433,-1,-1,0,-1,-1,-1,-1,0,628.98,503.15,510.51,363.38,1,57,detect,detect
139,6.619052,-1,-1,0,-1,-1,-1,-1,0,633.75,509.21,509.23,362.76,1,57,detect,detect
140,6.666672,-1,-1,0,-1,-1,-1,-1,0,635.28,511.57,508.73,362.25,1,57,detect,detect
141,6.714291,-1,-1,0,-1,-1,-1,-1,0,638.08,512.74,508.7,362.23,1,57,detect,detect
142,6.761910,-1,-1,0,-1,-1,-1,-1,0,643.96,512.7,508.46,362.14,1,57,detect,detect
